Artist,Album,Year,Listened To?,Bought,Want,Don't want
Julius Hemphill,Blue Boye,1977
Michael Mantler,Movies,1977
Abdul Wadud,By Myself,1977
Roscoe Mitchell,Nonaah,1977
Joanne Brackeen,Tring A Ling,1977
Art Lande,Desert Marauders,1977
Chico Freeman,Kings of Mali,1977
Art Pepper,No Limit,1977
Arthur Blythe,Metamorphosis,1977
Collin Walcott,Grazing Dreams,1977
David Friesen,Waterfall Rainbow,1977
Dave Holland,Emerald Tears,1977
Neil Ardley,Kaleidoscope of Rainbows,1977
Chico Freeman,Chico,1977
Frank Lowe,Lowe And Behold,1977
Vinny Golia,Spirits In Fellowship,1977
Weather Report,Heavy Weather,1977
Ernie Krivda,Satanic,1977
Derek Bailey,Company 5,1977
Chico Freeman,No Time Left,1977
Paul Motian,Dance,1977
Hamiet Bluiett,SOS,1977
Jan Garbarek,Places,1977
World Saxophone Quartet,Point Of No Return,1977
John Tchicai,Real,1977
Julius Hemphill,Raw Materials and Residuals,1977
George Russell,Vertical Form 6,1977
Joanne Brackeen,Aft,1977
Julius Hemphill,Roi Boye and the Gotham Minstrels,1977
Kenny Wheeler,Deer Wan,1977
Irene Schweizer,Hexensabbat,1977
Leroy Jenkins,Lifelong Ambitions,1977
Globe Unity,Pearls,1977
Ralph Towner,Sound And Shadows,1977
Hamiet Bluiett,Birthright,1977
Jean-Luc Ponty,Enigmatic Ocean,1977
Muhal Richard Abrams,1-OQA+19,1977
Cecil McBee,Music From the Source,1977
Steve Lacy,Raps,1977
Woody Shaw,Rosewood,1977
Gateway Trio,2,1977
Louis Hayes,The Real Thing,1977
McCoy Tyner,Supertrio,1977
Al DiMeola,Elegant Gypsy,1977
Michael Urbaniak,Urbaniak,1977
Keith Jarrett,My Song,1977
Arthur Blythe,Bush Baby,1977
Sheila Jordan,Sheila,1977
Leo Smith,Mass on the World,1978
Roscoe Mitchell,LRG-Maze-S II Examples,1978
Leroy Jenkins,Legend of Ai Glatson,1978
Rova Saxophone Quartet,Cinema Rovate,1978
Gerry Hemingway,Kwambe,1978
Sam Rivers,Waves,1978
George Lewis,Imaginary Suite,1978
Don Pullen,Warriors,1978
Guenter Hampel,Oasis,1978
Cecil Taylor,3 Phasis,1978
John Oswald,Improvised,1978
Andrew Cyrille,Metamusician's Stomp,1978
Ralph Towner,Batik,1978
Art Ensemble of Chicago,Nice Guys,1978
Carla Bley,Musique Mecanique,1978
Air,Open Air Suit,1978
Marvin Peterson,The Light,1978
Anthony Davis,Of Blues and Dream,1978
David Liebman,Pendulum,1978
Pat Metheny,Group,1978
Ernie Krivda,The Alchemist,1978
Evan Parker,Monoceros,1978
Anthony Braxton,For Four Orchestras,1978
Ganelin Trio,Concerto Grosso,1978
Cecil Taylor,Cecil Taylor Unit,1978
James Ulmer,Tales From Captain Black,1978
Oliver Lake,Life Dance Of Is,1978
Lester Bowie,African Children,1978
World Saxophone Quartet,Steppin' With,1978
Arthur Blythe,Lenox Avenue Breakdown,1978
Paul Winter,Common Ground,1978
Kenny Barron,Innocence,1978
Fred Anderson,Another Place,1978
